block_idx,rows,bias_type,stop_at,final_entropy,entropy_curve
29,560-579,race-color,-1,6.292005712497291,"[4.477177619613196, 5.016985116692555, 5.415421860582059, 5.515371255788656, 5.495381751747105, 5.519571667119192, 5.6194741341242604, 5.733136541773131, 5.834177299314987, 5.885247004996785, 5.9539903222748105, 5.9799300299650895, 5.970026238837496, 6.05116187931406, 6.127809852719773, 6.157929208291777, 6.2095809872501135, 6.217781876504463, 6.258114025473615, 6.292005712497291]"
30,580-599,race-color,14,6.384248995197208,"[4.7663781546098525, 5.1649625159046435, 5.676591555096186, 5.647805814925941, 5.885873859562214, 6.053402634399661, 6.050532136587136, 6.127673204676486, 6.2429843026003535, 6.274944726416234, 6.323733649866762, 6.31536869098046, 6.320173500265044, 6.319493470583997, 6.302939770644698, 6.335569150024618, 6.359097931140066, 6.365779719918072, 6.373348019797143, 6.384248995197208]"
31,600-619,race-color,13,5.772747545159782,"[4.366298967782153, 4.766039829235136, 5.143269732794225, 5.2948936747991295, 5.373681501174108, 5.528978961033861, 5.531850899706016, 5.688276394861256, 5.678044453310222, 5.705885406637753, 5.718785904380221, 5.725879220896168, 5.714901381048296, 5.735048110164466, 5.791872437181978, 5.80360930482363, 5.802573641003682, 5.765339773697522, 5.7583662547166465, 5.772747545159782]"
32,620-639,race-color,12,5.977576848082029,"[4.477177619613196, 4.632338482211753, 4.7431804809154805, 5.05317854049345, 5.37915834750477, 5.51117316079431, 5.521396996347049, 5.671203486915525, 5.701375715140559, 5.702636733602318, 5.707294753674158, 5.717522671670479, 5.743309637476931, 5.823829891771887, 5.844388666397711, 5.8687333198405485, 5.917752142062268, 5.928380467049609, 5.916297004698219, 5.977576848082029]"
33,640-659,race-color,15,6.14608834350679,"[5.024293000859552, 5.410672426840991, 5.651329545928121, 5.834783244208588, 5.950672486299782, 5.955465134437625, 5.977698973644251, 6.051227880841109, 6.128868109819444, 6.138801290604715, 6.0966200919355344, 6.177023650285796, 6.184291017187576, 6.176899733489581, 6.173932088137929, 6.201788148061729, 6.165101072403281, 6.15754160239096, 6.167094299823596, 6.14608834350679]"
34,660-679,race-color,-1,6.198050971704139,"[5.1628643944619315, 5.624539538309362, 5.927718881998591, 5.884126188377009, 5.96765035079365, 5.945813327158162, 5.8944971161936115, 5.922898182293582, 5.919344565164714, 5.974547718044246, 5.982976215841519, 6.049665785101433, 6.025173242837706, 5.997348828253807, 6.04017454059924, 6.093343956417415, 6.160528483447999, 6.164547768289044, 6.165305791913078, 6.198050971704139]"
35,680-699,race-color,17,5.752859438266213,"[4.477177619613196, 4.848384310291691, 5.048039288632037, 5.2752311646578365, 5.444474404596558, 5.556148283456834, 5.580247865933381, 5.627123657964896, 5.626543810868809, 5.6874735670972845, 5.7147071489985395, 5.75840003695306, 5.728518273635221, 5.77404798236073, 5.785182244420646, 5.772485580134191, 5.774720398629559, 5.761085546357355, 5.754164874731865, 5.752859438266213]"
36,700-719,race-color,13,5.816867797752616,"[4.7663781546098525, 5.103510640333361, 5.265407402147419, 5.5189941032128775, 5.49884057805314, 5.526290542386664, 5.637400406827387, 5.659017286956375, 5.67345294995304, 5.731966707150737, 5.719569810647839, 5.7330803816240365, 5.73332852638799, 5.746738047574371, 5.800094987334051, 5.7890914775101185, 5.789365052866298, 5.790557982318266, 5.807601439870421, 5.816867797752616]"
37,720-739,gender,10,6.252114669522863,"[4.851197659639878, 5.307356460426838, 5.6119433958073515, 5.844323173617421, 5.981879993031876, 5.9750125063981585, 6.108380218343268, 6.126896840211121, 6.086941534952463, 6.104190284946764, 6.069927239626504, 6.112321294070225, 6.079656769194418, 6.1517783759257325, 6.190306066557256, 6.180090200845612, 6.171020406802097, 6.170906085555434, 6.220900876221536, 6.252114669522863]"
38,740-759,gender,-1,6.372810482149409,"[4.788080558051804, 5.417677170689254, 5.402474759927253, 5.4148801162488835, 5.519371594094781, 5.701912973419383, 5.858407721091977, 6.038039822813161, 6.116930794378757, 6.169477541167054, 6.291200317252493, 6.283924798732909, 6.361589135923731, 6.331750214578262, 6.299127960213298, 6.340095275256634, 6.363517402244409, 6.391664039093102, 6.37626682338055, 6.372810482149409]"
39,760-779,gender,17,5.75954918712198,"[4.477177619613196, 4.945565203249918, 5.17275427441389, 5.24182626457719, 5.362580214377587, 5.494751693653888, 5.602231797164372, 5.593667374695407, 5.682864775893837, 5.665960141224402, 5.647558650977744, 5.702675758633677, 5.714785199414446, 5.751061170351441, 5.765691591860384, 5.761071935212899, 5.7363274376813855, 5.745211151561263, 5.764315173641893, 5.75954918712198]"
40,780-799,gender,-1,5.92308866771444,"[4.2461977277952645, 4.945565203249918, 5.030464708672776, 5.383709886737802, 5.498076549166615, 5.4711700742602405, 5.529458783677825, 5.508024532509232, 5.476829313691181, 5.582311487341328, 5.653314459453985, 5.692625478044087, 5.765085062422534, 5.740649373341645, 5.782855255386644, 5.882233326589953, 5.863533125088331, 5.8969741173852785, 5.899954141413928, 5.92308866771444]"
41,800-819,nationality,-1,5.975338731601173,"[4.644851741186305, 5.1399654836333015, 5.4513022488368925, 5.567894519299001, 5.6046807746468605, 5.55917943602769, 5.5846862652103475, 5.64023609104505, 5.7994541253741705, 5.782052877808534, 5.779881554310363, 5.800538645700929, 5.798064126068693, 5.856804018862683, 5.857993752752865, 5.885122984488177, 5.88361498586612, 5.91490168864077, 5.912194394228065, 5.975338731601173]"
42,820-839,nationality,15,6.107759233398614,"[4.949727084133292, 5.1588376711873885, 5.240490514076056, 5.51715649400473, 5.640758121392048, 5.7781345013756065, 5.80174393189976, 5.93896334080402, 5.9280390059939805, 5.944773382564937, 5.981716775996196, 6.045339994366805, 6.024961738263836, 6.016210222957593, 6.018326749515652, 6.014614697172251, 6.042861994531966, 6.052417264616326, 6.07167018122399, 6.107759233398614]"
43,840-859,nationality,16,5.698318512445768,"[4.7663781546098525, 4.875418958305397, 4.973536988246227, 5.199163999502601, 5.3369238591477846, 5.414686604471319, 5.471697958800343, 5.532471372429041, 5.636270422471114, 5.6234181324235415, 5.656808277807732, 5.682225473697811, 5.705212203946375, 5.6965813851220535, 5.693267745325821, 5.685164236245411, 5.6771431976536455, 5.703980238983774, 5.702269907710874, 5.698318512445768]"
44,860-879,nationality,14,5.699806727111487,"[4.700011686281852, 4.884955722062549, 5.048084764621258, 5.202824828047504, 5.321628196263407, 5.5010919149407504, 5.555128429920072, 5.610740793870912, 5.601032178030754, 5.623237171182673, 5.663226032004619, 5.663083912507578, 5.665720980741961, 5.67694189680592, 5.6819547783434965, 5.670975579769917, 5.671380940728152, 5.661282449626319, 5.684502654956702, 5.699806727111487]"
45,880-899,race-color,11,6.058415681546039,"[4.820139106969267, 5.189965483633302, 5.3023950520289596, 5.3413405557752975, 5.491214324721569, 5.605444587040656, 5.599593324332575, 5.773569993883254, 5.79137191665587, 5.7786737637574115, 5.744367827526032, 5.806260459237306, 5.823550003076174, 5.869124146046495, 5.950938667541171, 5.997811326373333, 6.002984360896053, 6.008027533091184, 6.0032570631727635, 6.058415681546039]"
46,900-919,race-color,13,6.179959871958982,"[4.676263300416702, 5.543555342217573, 5.804578728979463, 5.726815424267335, 5.718899278829237, 5.880950661051096, 6.0179226784049975, 6.095528256237973, 6.1534779287502515, 6.183976036583447, 6.175869312209031, 6.182344601913707, 6.145861371048986, 6.111825106616573, 6.19565727811375, 6.209990551131565, 6.175387134285415, 6.183950231031246, 6.183836033273579, 6.179959871958982]"
47,920-939,race-color,-1,5.679723393664987,"[4.019418767758224, 4.569119182459791, 4.706497869376102, 4.895195602287784, 5.226413582408375, 5.2902766420412615, 5.202991048439164, 5.252501505080903, 5.331888630650111, 5.439126315555513, 5.517109896490793, 5.496624293993686, 5.5258394052966535, 5.55150767726194, 5.565632634565305, 5.606452747160511, 5.650243274575805, 5.644867868468901, 5.644449289362802, 5.679723393664987]"
48,940-959,race-color,-1,5.817579864899144,"[4.477177619613196, 4.919794133819538, 5.1144767334169545, 5.3502983600137455, 5.4130563868426, 5.572021778323587, 5.637621196741238, 5.625744623120898, 5.6460866834102, 5.6223724558141885, 5.627358595761552, 5.687970271681713, 5.7456034826249045, 5.731704061508067, 5.7491305352421875, 5.775218167930751, 5.795601697108672, 5.793837983684162, 5.791801439167296, 5.817579864899144]"
49,960-979,socioeconomic,-1,6.116484897587492,"[4.676263300416702, 5.166627089392154, 5.229222101265283, 5.489510267770145, 5.684704197952035, 5.698248196468896, 5.816986515645614, 5.856702888559877, 5.9267986739255925, 5.8706164441976725, 5.853048295770018, 5.918122396463241, 5.951740376421074, 5.999674139240101, 5.999094107601807, 5.971175834831326, 5.998389917246289, 6.036803762687828, 6.065917259121199, 6.116484897587492]"
50,980-999,socioeconomic,8,6.216687904359018,"[4.851197659639878, 5.499806658189913, 5.876396728207154, 6.0033174449107936, 6.137625705869012, 6.128565416432737, 6.126390242243089, 6.118737242843136, 6.150003397794527, 6.165145534328858, 6.185247151131592, 6.19648578792999, 6.212752772546777, 6.187531061994171, 6.206463977333463, 6.244047274534283, 6.230344099802966, 6.219299089477651, 6.199572722606427, 6.216687904359018]"
51,1000-1019,socioeconomic,10,5.698939341894985,"[4.580148281356701, 4.919231860260837, 5.049478706858245, 5.304799346051874, 5.418833378955532, 5.394124272451755, 5.5744735099379925, 5.573518333278629, 5.538731677478162, 5.52497483592292, 5.529952671803613, 5.540551086435499, 5.5796795795614775, 5.631710997641874, 5.598041472065782, 5.596179049716874, 5.670293809748058, 5.686967126844163, 5.677635901575088, 5.698939341894985]"
52,1020-1039,socioeconomic,-1,5.8239083614444676,"[4.446219622792855, 5.067237561564091, 4.9657792245614045, 5.157243291337024, 5.227659878576736, 5.41013418003761, 5.493140022881436, 5.519332098620748, 5.4932026058982535, 5.6140551233183915, 5.63144568544251, 5.675010790116664, 5.758565430429458, 5.761107987721749, 5.801142017393316, 5.822897270269561, 5.7877578481907745, 5.813798320725307, 5.81117085039967, 5.8239083614444676]"
53,1040-1059,race-color,20,6.339722386817051,"[4.851197659639878, 5.41402231852347, 5.691689305139455, 5.77220305763703, 5.742474344007572, 5.816812294020226, 5.975800172638669, 6.133487686067157, 6.201606235976278, 6.223738833805889, 6.2254540742013385, 6.21593012067682, 6.245670355723149, 6.2201437605150955, 6.28975219404849, 6.29108197969479, 6.354112191634358, 6.325974042456908, 6.324678258960683, 6.339722386817051]"
54,1060-1079,race-color,14,6.445789748480553,"[4.7663781546098525, 5.3873960933810885, 5.815640956000504, 5.962949891802931, 5.9056038596266704, 5.940084361357542, 5.936459068774194, 6.0895032153908994, 6.326497303170869, 6.343751448550414, 6.46166268295258, 6.450236736302878, 6.4638185425026125, 6.429771503014639, 6.4107533937875925, 6.4161735095804175, 6.386596259533946, 6.391905499270161, 6.431763261531447, 6.445789748480553]"
55,1080-1099,race-color,18,5.948613490861898,"[4.477177619613196, 4.900934206130309, 5.241296083569266, 5.27419418101748, 5.353253106425128, 5.486370522810483, 5.55408740530819, 5.728600719790719, 5.6992449555202125, 5.7983936019247295, 5.789831458302643, 5.897943959487518, 5.925497789637062, 5.899944622648143, 5.933460270100364, 5.92122187502944, 5.912801837565664, 5.932285053918075, 5.916216923630181, 5.948613490861898]"
56,1100-1119,race-color,19,5.768384031968934,"[4.2827956538671605, 4.965386441597059, 5.034187420514016, 5.1240093643028235, 5.160152378300817, 5.246931369948595, 5.37660197600051, 5.3784471349637935, 5.451642048651628, 5.49754192271889, 5.602248375593719, 5.676763347983354, 5.687707715826762, 5.726590943775982, 5.734842844345368, 5.7794010748548565, 5.765496205257456, 5.74854542669463, 5.749920153247731, 5.768384031968934]"
57,1120-1139,race-color,17,6.238421485825346,"[5.0072082393096204, 4.888526263936161, 5.359946335021881, 5.413417745807413, 5.554900798205804, 5.667970539462915, 5.785350489195052, 5.853749515588659, 5.937214992249072, 5.954674383579075, 5.9291733150184545, 6.0927610572506, 6.146194063608807, 6.220569148918016, 6.219855264903348, 6.183259247238014, 6.174929177925492, 6.182015349628855, 6.191854497146142, 6.238421485825346]"
58,1140-1159,race-color,-1,6.362199286811872,"[4.931309374917303, 5.376053111324263, 5.70913664320216, 5.707365979679849, 5.840591815543485, 5.937019109756704, 5.938758872011559, 5.9226841144268665, 6.030501747976906, 6.066405808294224, 6.0620264001863085, 6.171450604414895, 6.2050220874194935, 6.260564148982366, 6.240172457251654, 6.219023568511384, 6.240835939372468, 6.293288467446525, 6.331459108795136, 6.362199286811872]"
59,1160-1179,race-color,9,5.715846369052935,"[4.366298967782153, 4.653200157162577, 5.154686277742195, 5.1793272660784, 5.339794253548383, 5.3831666445622375, 5.390956726388149, 5.393470425405564, 5.397931057539584, 5.418507825881111, 5.393430863122302, 5.458008330884557, 5.517630151762634, 5.551949949626297, 5.550574277486923, 5.588931180470607, 5.619286315683783, 5.675136993565937, 5.676429629365276, 5.715846369052935]"
