block_idx,rows,bias_type,stop_at,final_entropy,entropy_curve
2411,48200-48219,age,18,5.109776852815936,"[4.477177619613196, 4.424942606512242, 4.60255698833649, 4.596031550417158, 4.498804693198333, 4.557880730757424, 4.52600461328867, 4.760627747083828, 4.873729847171142, 4.936908566357499, 4.93324314061554, 4.978994080159006, 5.009431969361732, 5.024438880247949, 5.0627664511294865, 5.072774309724481, 5.079310033714782, 5.094008457865275, 5.110205045900744, 5.109776852815936]"
2412,48220-48239,age,11,5.1991655585222265,"[5.0072082393096204, 4.980904516532816, 5.1005189004360005, 5.082429324106716, 5.110122563638196, 5.114802303369134, 5.094629639581031, 5.155527888195037, 5.150565938118218, 5.15955184992836, 5.139392348103321, 5.167189397789844, 5.1774865330655375, 5.187857134481645, 5.179881218335798, 5.184127832262518, 5.181783512799564, 5.183208231735884, 5.191445741953047, 5.1991655585222265]"
2413,48240-48259,age,4,5.235925392280917,"[4.931309374917303, 4.734506079382726, 4.74508336733631, 4.735934530644044, 4.72659581546888, 4.733838989926435, 4.773120200074438, 4.884145633651496, 4.983318555612532, 5.027660619259881, 5.081024606298131, 5.142467908792141, 5.153007395971765, 5.180686389313987, 5.170859747706097, 5.175946374027022, 5.177728654166506, 5.169728892855494, 5.19093187131495, 5.235925392280917]"
2414,48260-48279,race-color,7,5.448487143206618,"[4.931309374917303, 4.896987172652924, 4.8680143220724865, 4.91562766945613, 4.8608796713480436, 4.818595994600104, 4.808607270477599, 5.064189795454503, 5.169717928934891, 5.2824024988868645, 5.3389847451832, 5.383850297739022, 5.42831524792267, 5.430446931654764, 5.428595494384517, 5.447665529950051, 5.438707112588222, 5.459315511256126, 5.450934515012051, 5.448487143206618]"
2415,48280-48299,race-color,18,5.1165530532637815,"[3.186085434424891, 3.6996497566290576, 3.773762196647998, 3.8449682455970478, 4.103222512862612, 4.385985828918219, 4.4123852166711055, 4.793358304204219, 4.916237238385953, 4.994458078491986, 4.966561686782362, 5.010322049349333, 5.040960403643421, 5.049662421293316, 5.077877118390672, 5.083673930873273, 5.0941231810394845, 5.101772837579402, 5.122101569312389, 5.1165530532637815]"
2416,48300-48319,race-color,16,5.11556032544019,"[4.2461977277952645, 4.435323102772653, 4.704251735464581, 4.717239390464961, 4.788897282031105, 4.814363442648163, 4.798886629836127, 4.9248576597550535, 4.942916762512504, 4.97611825021427, 4.9617221173546175, 5.013213799954195, 5.033756005367185, 5.049709712889604, 5.042128113599643, 5.05120552977717, 5.0522461950700395, 5.055858798874637, 5.071188533195141, 5.11556032544019]"
2417,48320-48339,race-color,17,5.271275680628047,"[4.115202091768645, 4.042611243985131, 4.149409774667483, 4.1765649372034055, 4.1909013043273, 4.219900554255765, 4.304573714110676, 4.523406843070277, 4.709317763702443, 4.808144405323434, 4.909445745777337, 5.072811442150967, 5.10499746572178, 5.160989298339292, 5.153992175763231, 5.167441292365709, 5.1743825254101905, 5.162958673378944, 5.199978705448679, 5.271275680628047]"
2418,48340-48359,age,7,5.203145431710236,"[4.115202091768645, 4.358394107455308, 4.430567422122814, 4.590662957783082, 4.5293132094005015, 4.477172752728133, 4.490271731185085, 4.938382367396451, 5.005234748981736, 5.156103916818024, 5.162251016817584, 5.208440805723966, 5.223412672355589, 5.274006956811245, 5.254728943771775, 5.222914690436568, 5.237399258168001, 5.215822639631299, 5.20210349773105, 5.203145431710236]"
2419,48360-48379,age,-1,5.014172603050667,"[3.425652796724303, 3.491609273178909, 3.6134687586988234, 3.7080053201666807, 3.7103875494117537, 4.111892997067664, 4.005495981568111, 4.430484719432673, 4.623595041810743, 4.755173482963604, 4.749533484339728, 4.820048054903161, 4.863855512259248, 4.885750624200077, 4.94022369428334, 4.954004659827731, 4.956728521507213, 4.991730210195315, 5.015832654576965, 5.014172603050667]"
2420,48380-48399,age,15,5.1043667037622615,"[4.366298967782153, 4.514443811252089, 4.7552783571809805, 4.762119123551548, 4.825240941024186, 4.846614572581602, 4.8298336629092695, 4.942294121184457, 4.954615392500075, 4.982260189179493, 4.96566948877452, 5.012506104097197, 5.031062431949153, 5.046240967634364, 5.0383299588506185, 5.046481615825653, 5.046635667286318, 5.049853996253364, 5.063809875676906, 5.1043667037622615]"
2421,48400-48419,age,17,5.229911735374206,"[4.2461977277952645, 4.14867142413433, 4.236356525734695, 4.256381519081906, 4.265734306912142, 4.290500273923344, 4.365884186263503, 4.562091366035499, 4.730306104641326, 4.817095060128676, 4.908591032838465, 5.056608506456056, 5.083206010533528, 5.132732667262358, 5.1241783200112305, 5.135403755418564, 5.140831661448466, 5.12971903731464, 5.163430918246156, 5.229911735374206]"
2422,48420-48439,religion,7,5.2559564688764135,"[4.2461977277952645, 4.4313751754772, 4.4805511908479625, 4.61539312783093, 4.554603971513636, 4.504007390738529, 4.510717440065022, 4.91085695274376, 5.107411565729111, 5.212062160467975, 5.231770082753037, 5.185893565896084, 5.175644334142549, 5.1684925761396725, 5.182208591609637, 5.209656400579653, 5.228387685521406, 5.207344815192139, 5.177390043162975, 5.2559564688764135]"
2423,48440-48459,religion,18,5.0496689407095126,"[3.8111227973929624, 4.0719364737243104, 4.178356436289173, 4.202214562063485, 4.236897345297423, 4.341706993776772, 4.361706168633938, 4.693883937423595, 4.77499237477847, 4.882906159907109, 4.861095950342488, 4.913668903348208, 4.945266398722729, 4.962714397773236, 4.994044983586299, 5.005734306623617, 5.019072908828328, 5.032629137861788, 5.0539126155916545, 5.0496689407095126]"
2424,48460-48479,religion,15,5.104400986647049,"[4.477177619613196, 4.590028162915062, 4.806550720304565, 4.8081853929793095, 4.864020478302834, 4.8819216236748515, 4.864173388730607, 4.965432104435265, 4.973342011526103, 4.996576419492137, 4.9785358741181005, 5.021420133707421, 5.0382798519816205, 5.052674634947349, 5.044582273276929, 5.051938823030007, 5.051426794578642, 5.054296442231396, 5.067078234155047, 5.104400986647049]"
2425,48480-48499,religion,17,5.207159428570299,"[4.366298967782153, 4.2478108012236335, 4.319349429915205, 4.3333195162547335, 4.338571973174719, 4.35972725692522, 4.4273706177251455, 4.604942413441422, 4.758392252781993, 4.835498551425291, 4.918823384348318, 5.05405067233589, 5.076338086030027, 5.120636733822589, 5.1110855381531, 5.120575621851006, 5.124846849611557, 5.114077934493896, 5.144991301731606, 5.207159428570299]"
2426,48500-48519,gender,7,5.7346953163823375,"[4.366298967782153, 4.503629796366218, 4.534584358008889, 4.649311102846822, 4.5893260704886085, 4.540220605735208, 4.542322068434232, 5.002525330883892, 5.079149119612075, 5.161107330176694, 5.366193388687562, 5.575252349433596, 5.684637193444436, 5.723175005802203, 5.722131060066377, 5.749644695014162, 5.77641118735012, 5.8076727343941394, 5.763738724948373, 5.7346953163823375]"
2427,48520-48539,gender,14,5.338190454444246,"[4.477177619613196, 4.870707041559923, 5.123913642995162, 4.992713051180364, 5.225688645956396, 5.177895909037103, 5.204808212829799, 5.27244576499677, 5.246823209074034, 5.271902589494001, 5.3146063758291655, 5.3300520187027205, 5.328953838590679, 5.334122435700947, 5.345059742490592, 5.405908171154804, 5.417197420346779, 5.395492937005383, 5.362519621346419, 5.338190454444246]"
2428,48540-48559,gender,-1,5.368372370548767,"[4.477177619613196, 4.503629796366219, 4.689825100269346, 4.735005249544807, 4.770532932364854, 4.897908753578771, 4.972795462363756, 5.041960231698858, 5.114235962599588, 5.09899704442987, 5.19467885239362, 5.240621291236808, 5.320031823878982, 5.3250831788799715, 5.345451718454261, 5.34430904176246, 5.343327968495999, 5.363335585365471, 5.378875014057419, 5.368372370548767]"
2429,48560-48579,gender,16,5.446188674710506,"[4.2461977277952645, 4.4058049280312614, 4.689825100269346, 4.930550989749132, 5.0013184220516225, 4.940763879901249, 4.987305578866508, 5.228571728760706, 5.336213951015151, 5.416262633114074, 5.477744069377263, 5.451071295941843, 5.514415001854884, 5.514361844324042, 5.513669085347294, 5.5085754980822665, 5.481506068470612, 5.4987877905987785, 5.4641950303445865, 5.446188674710506]"
2430,48580-48599,race-color,14,6.051813705667049,"[4.606298888701354, 4.7626260258327235, 5.076196337004893, 5.327759671257862, 5.387790042648307, 5.262090611058747, 5.406118579362938, 5.767724420410774, 5.979145098065096, 6.061028543015988, 6.1436171175561585, 6.108418702449779, 6.1190321238667655, 6.085704967864501, 6.06049470723854, 6.048176632256247, 6.0566042779042375, 6.058885212177478, 6.064164460765182, 6.051813705667049]"
2431,48600-48619,race-color,19,5.2603625616398855,"[4.676263300416702, 4.787788942571506, 4.71927262492225, 4.7587620740031165, 4.845594727909329, 4.8443696280639745, 4.791023250140975, 4.87443533412921, 4.900867516745673, 5.00456138608496, 5.0625714514345646, 5.214272564711216, 5.263168722114333, 5.30938730211743, 5.2738774332617355, 5.306368318484224, 5.301008017490393, 5.277282119896731, 5.294483889161292, 5.2603625616398855]"
2432,48620-48639,race-color,18,5.167851420100146,"[4.366298967782153, 4.36913803433229, 4.497737227011043, 4.483885374248951, 4.704968364045043, 4.8252920032872115, 4.791663674829729, 4.902519423476039, 4.995995644950332, 5.0842714486751035, 5.077979078727192, 5.074368754765993, 5.1259793273397385, 5.138840726771243, 5.188121871448066, 5.1841525541802, 5.184363698985106, 5.168409776152117, 5.179061076284039, 5.167851420100146]"
2433,48640-48659,race-color,13,5.542001225067926,"[4.115202091768645, 4.3853103389555885, 4.738789390889338, 4.818956900405855, 4.9087994251840446, 4.983448573484005, 5.040802739639378, 5.160609019833288, 5.332893476752921, 5.513129830102674, 5.464508619906727, 5.475567234965718, 5.452480596278206, 5.493234553409081, 5.4822188450148985, 5.503905936122289, 5.537890576758549, 5.558885977530437, 5.553031634077803, 5.542001225067926]"
2434,48660-48679,socioeconomic,20,5.97984755750598,"[4.580148281356701, 4.69707735855669, 5.035127084544444, 5.11060027727823, 5.1241405950538805, 5.063768045362261, 5.148022108448363, 5.547106844798587, 5.674182808302986, 5.732475543670327, 5.789326429419614, 5.8872232290203295, 5.920129273187969, 5.954712702711523, 5.972473853758252, 5.980440518226438, 6.02970140891561, 6.004913249937389, 5.9999070931296306, 5.97984755750598]"
2435,48680-48699,socioeconomic,14,5.293006176641154,"[4.2827956538671605, 4.326469201954874, 4.524057837524201, 4.43650047506547, 4.388718326305325, 4.584084354827339, 4.757924948381524, 4.956338208571965, 5.10553161260916, 5.129732564306485, 5.229581632475831, 5.237921290734033, 5.245031808917147, 5.257274655899558, 5.229262380641275, 5.249972044085526, 5.289559749664371, 5.317515526607497, 5.303214569960768, 5.293006176641154]"
2436,48700-48719,socioeconomic,16,5.129989599067404,"[4.366298967782153, 4.465518602859192, 4.647176524298821, 4.630488482262436, 4.631276198647719, 4.67055291525714, 4.709034271694167, 4.794257586575961, 4.894853935961944, 4.902191592299468, 4.9938952363499025, 4.974449082383207, 5.033603600045889, 5.011409321589301, 5.029321831680106, 5.014004365849188, 5.101862746177654, 5.152352395406197, 5.130566271229399, 5.129989599067404]"
2437,48720-48739,socioeconomic,15,5.394429249280033,"[4.2461977277952645, 4.482527514350811, 4.439370636243878, 4.525552040915618, 4.639705055283067, 4.846989166035692, 4.806439794165322, 4.936630839298433, 5.10154425617961, 5.2822233741422675, 5.373572500934874, 5.397301636879476, 5.400890731174074, 5.377876704937729, 5.362696287191511, 5.4118371464956985, 5.407824553764501, 5.379351315403768, 5.376937536895303, 5.394429249280033]"
2438,48740-48759,race-color,-1,5.9921242970625235,"[4.606298888701354, 4.739751965835193, 4.799125499155383, 4.798895761891106, 4.818636848643333, 5.102372951042059, 5.019994052115885, 5.380690135433859, 5.517377079144667, 5.608219057797145, 5.681696507767026, 5.737990544164331, 5.744284010779189, 5.803519391231093, 5.838826598006075, 5.9058722263890004, 5.959398311492742, 5.952949222932422, 5.983760959276772, 5.9921242970625235]"
2439,48760-48779,race-color,19,5.2095661799541135,"[3.9711408632873955, 4.503629796366218, 4.4517165735943705, 4.505181276264206, 4.563304125201372, 4.8318074457983275, 4.854987224296711, 4.9873840241794705, 5.079306089831003, 5.143083830456831, 5.196430444217963, 5.193192763954485, 5.218727812247445, 5.178961395531486, 5.209208839281796, 5.251430891422437, 5.246807788651371, 5.2502855971821445, 5.227980289115762, 5.2095661799541135]"
2440,48780-48799,race-color,-1,5.060277961689092,"[4.2461977277952645, 4.3853103389555885, 4.4517165735943705, 4.378606972987718, 4.333764031014244, 4.366904255520972, 4.312104862206773, 4.520689414031789, 4.623858884304379, 4.75265024741983, 4.849510967177579, 4.929756145690005, 4.960983017750104, 4.943210649361213, 4.965144015650367, 5.03417082353936, 5.008327906445255, 5.001517025898325, 5.047333165185171, 5.060277961689092]"
2441,48800-48819,race-color,19,5.522392475838585,"[4.366298967782153, 4.709306474387851, 4.859273764203581, 4.876632251333513, 5.022785878910873, 5.078718669702207, 5.066057354859844, 5.260057854529476, 5.298562789085607, 5.353244695007235, 5.399423798031317, 5.392008305650368, 5.408162033144777, 5.433777422200084, 5.420599652958717, 5.5309957453922785, 5.521584849400638, 5.49937662624907, 5.516462270953426, 5.522392475838585]"
2442,48820-48839,nationality,6,5.8631785004326105,"[4.2827956538671605, 4.925640115148654, 5.167264359138947, 5.1462325930176265, 5.1098094501409665, 5.061900061325356, 5.083133274281635, 5.3703887817186375, 5.553448722447866, 5.607785816193328, 5.749576031806735, 5.785294664513839, 5.787895261722414, 5.827040781690788, 5.853560333391407, 5.851626997512361, 5.8214760934129535, 5.85042983627846, 5.874576983135824, 5.8631785004326105]"
2443,48840-48859,nationality,20,5.411113133503494,"[4.115202091768645, 4.2478108012236335, 4.776748774995198, 5.009635745352782, 5.037657633932741, 5.084668887103703, 5.028511088689943, 5.039380796121059, 5.078082787105049, 5.180185100463565, 5.304969070798854, 5.300585891975252, 5.374043937637731, 5.394509665025826, 5.447472468483592, 5.44906960372317, 5.473663018249752, 5.459310354228697, 5.439230244396131, 5.411113133503494]"
2444,48860-48879,nationality,18,5.293696102380779,"[4.115202091768645, 4.3853103389555885, 4.351542115733042, 4.638941520934138, 4.696846595076581, 4.8118312182585985, 4.818981928208126, 4.954759978939823, 5.04652066883574, 5.097565543538907, 5.12637665515375, 5.132967634731392, 5.2049449307415605, 5.269342982610398, 5.2951851685424955, 5.304526405910218, 5.317654276861153, 5.306920725237918, 5.315766962730812, 5.293696102380779]"
2445,48880-48899,nationality,17,5.385741049781344,"[3.9711408632873955, 4.431375175477199, 4.474994660485221, 4.550486939107612, 4.731084016884837, 4.891508938335642, 4.881279052095945, 5.120261512056012, 5.212898203605939, 5.258788397490552, 5.346999743503771, 5.353089513859675, 5.455980969054112, 5.492942805661408, 5.484965612973105, 5.444979989049869, 5.4052273447234995, 5.378024183240717, 5.363013072610792, 5.385741049781344]"
2446,48900-48919,race-color,6,5.72053392334778,"[4.477177619613196, 4.766039829235136, 4.914579218345587, 4.811382516306892, 4.828654438738656, 4.812496476639319, 4.729574994734618, 5.166427260784801, 5.330396372139909, 5.55560291354017, 5.610784702952896, 5.669728579109611, 5.692549290515533, 5.715470577849548, 5.751060089317432, 5.772966665010706, 5.745372983403877, 5.739367783973864, 5.734730713292093, 5.72053392334778]"
2447,48920-48939,race-color,17,5.19686442002006,"[4.019418767758224, 4.371491859751103, 4.59806588552313, 4.595102079710046, 4.528989449617916, 4.778705378433881, 4.737884145357418, 4.882722792441842, 4.974406937449123, 5.081488795212545, 5.170815784093802, 5.16397410699525, 5.238453432114275, 5.277566570494389, 5.274500822920334, 5.23159433160339, 5.250135414581552, 5.244397964624593, 5.22304746637342, 5.19686442002006]"
2448,48940-48959,race-color,20,5.055144900280076,"[4.2461977277952645, 4.282107313465604, 4.511621381641541, 4.325248946228396, 4.313347578214511, 4.4518700637135815, 4.421922042735129, 4.619612262515248, 4.645821615421003, 4.714247256902464, 4.79766066916966, 4.840257978921004, 4.908029895151844, 4.931169431610098, 4.953596383537823, 4.98849332846941, 5.021021507697656, 5.0241476738109725, 5.038621751192262, 5.055144900280076]"
2449,48960-48979,race-color,18,5.507474236838586,"[4.115202091768645, 4.431375175477198, 4.7595244718716545, 4.669216485124926, 4.854809201364237, 4.817982211409611, 4.847647989216627, 5.096148993131294, 5.262737458525281, 5.30565719590363, 5.376640476053019, 5.446001355486359, 5.479136371843924, 5.498257733241242, 5.520766005198228, 5.538817557025076, 5.52201278061525, 5.512329837753821, 5.524403730714943, 5.507474236838586]"
2450,48980-48999,race-color,19,6.021342693729138,"[4.2461977277952645, 4.7956428830121105, 4.804058844985858, 5.263248823353653, 5.224806514073386, 5.311428513697072, 5.375502270762217, 5.76332073000695, 5.864730003286608, 5.948380510176366, 5.950243268268496, 5.994392415269751, 6.004030652768722, 5.966517863721527, 5.993522003763744, 6.017296111834079, 6.030977397462822, 6.04792727121982, 6.057789702102373, 6.021342693729138]"
2451,49000-49019,race-color,19,5.219737667718514,"[3.8111227973929624, 4.282107313465603, 4.351542115733042, 4.583292161832234, 4.772871558976137, 4.802573218977941, 4.838854032830803, 4.950478460548249, 5.009615965026934, 5.041634025165924, 5.073934427179759, 5.127734889534838, 5.2074808274187685, 5.188827662037674, 5.163665368484834, 5.233344567486561, 5.210882614519834, 5.211593137822714, 5.215733068126975, 5.219737667718514]"
2452,49020-49039,race-color,15,5.239324830101704,"[4.366298967782153, 4.36913803433229, 4.257924740082222, 4.615676049179187, 4.619660673776091, 4.64140850009218, 4.720807335644467, 4.795954498793165, 4.945236679756397, 4.963894822775013, 5.0843562017629065, 5.115781328076083, 5.126347659683962, 5.108759818815433, 5.119117829105961, 5.187001095385078, 5.199080553632861, 5.18474380306463, 5.212249325052339, 5.239324830101704]"
2453,49040-49059,race-color,17,5.485037771917865,"[4.115202091768645, 4.356664702041413, 4.476554279247374, 4.641249098770296, 4.813008488470756, 4.813205437318271, 4.874860863467358, 5.110518398312036, 5.117917110717628, 5.1700068339180145, 5.252069044715015, 5.333034928109416, 5.339672419716179, 5.376314799034314, 5.377181222460694, 5.3833008267025555, 5.360543209051718, 5.392223547291343, 5.461583386142158, 5.485037771917865]"
2454,49060-49079,religion,17,5.933324315579006,"[4.477177619613196, 4.336648236581435, 4.6568221349698655, 4.781616768114807, 4.846316432537386, 5.072900317789967, 5.014625677327554, 5.500055598736094, 5.673643087617693, 5.831106395403146, 5.870048418132784, 5.872875497683944, 5.907950383860027, 5.938306414884576, 5.934352212157064, 5.9270183893423045, 5.89619953643376, 5.888715948671585, 5.920262685261512, 5.933324315579006]"
2455,49080-49099,religion,7,5.2530659137856395,"[4.7663781546098525, 5.018468530319471, 4.855588922869183, 5.047633249185958, 4.979744023839815, 4.968074916471709, 4.925288557669367, 5.076554171833346, 5.119713060309117, 5.156087750819978, 5.210159048440682, 5.224270100675482, 5.269402795303948, 5.2835473235113115, 5.276024756018018, 5.275032576239785, 5.2648224495234155, 5.297137828316411, 5.275569095636008, 5.2530659137856395]"
2456,49100-49119,religion,7,5.140797352934308,"[4.477177619613196, 4.628221185200486, 4.70086073462558, 4.725032035620872, 4.716318308661609, 4.7099652312440305, 4.682995964954859, 4.761565471704216, 4.852551596130842, 4.932525444464854, 4.908820477846363, 4.971004905322205, 5.022562850653008, 5.1053698376091, 5.099033780699686, 5.105647639191477, 5.089129950166774, 5.104540329411939, 5.127283597122175, 5.140797352934308]"
2457,49120-49139,religion,-1,5.578831489473991,"[4.477177619613196, 4.803737905778938, 4.8704331747527965, 4.93501145991889, 4.866932540254129, 4.9422745668671135, 5.028619312196058, 5.147693122251323, 5.319748464234557, 5.361498825705681, 5.470516660987058, 5.503768774958314, 5.489224216685075, 5.479334916422338, 5.502970476701729, 5.5266549174795, 5.515072746269583, 5.507832087915326, 5.598661191745939, 5.578831489473991]"
2458,49140-49159,race-color,19,5.8847237794597955,"[4.580148281356701, 4.862205921010556, 4.839178324996063, 5.033291415765743, 4.988800185597469, 5.061382854809548, 5.1275053833715605, 5.447041723655357, 5.634934372264664, 5.724778997413416, 5.82161022784176, 5.80048494330738, 5.883834075677709, 5.892885725483477, 5.918246791212716, 5.940873855044751, 5.931217930128953, 5.914433672091932, 5.912990584411088, 5.8847237794597955]"
2459,49160-49179,race-color,8,5.17985136050023,"[4.580148281356701, 4.803737905778938, 4.804058844985858, 4.998070224304476, 5.059178516631057, 5.011959384420615, 4.914008096399683, 4.923963980888798, 4.964380404894863, 5.127182477275853, 5.18925403748505, 5.192002854536149, 5.1780796799592155, 5.17407685946369, 5.197702334960303, 5.20239974201754, 5.196561121370843, 5.187396706745133, 5.172579200341218, 5.17985136050023]"
2460,49180-49199,race-color,15,4.966090740019036,"[4.115202091768645, 4.14867142413433, 4.316985671910353, 4.258248047004929, 4.306694131932697, 4.4646325206436295, 4.3964447950208685, 4.555704070939267, 4.620781917157282, 4.713591499776584, 4.831506775193835, 4.8591986082317895, 4.875637537527442, 4.872374811120518, 4.873415657191866, 4.8518514092166125, 4.9160067353629096, 4.907292723861287, 4.9475588650291105, 4.966090740019036]"
2461,49200-49219,race-color,4,5.551465128633379,"[4.580148281356701, 4.531030202327469, 4.483325855028094, 4.466567585305351, 4.605721948282098, 4.776647258360743, 4.854085280081776, 5.024390818781319, 5.210901003905076, 5.4365807953899115, 5.442101848453008, 5.503730514001323, 5.506380439430759, 5.5387589609784245, 5.5031480357396125, 5.517102910080339, 5.534579324660982, 5.5917995308908495, 5.560545291456581, 5.551465128633379]"
2462,49220-49239,gender,-1,6.026025025972381,"[4.446219622792855, 5.090036672111824, 5.053935806644474, 5.162573236758644, 5.152284279557044, 5.117071357189146, 5.205987726238227, 5.556714781824403, 5.641372827585213, 5.793700710986929, 5.851213072453257, 5.895250656168242, 5.931103215814364, 5.947911163173842, 5.976068483539151, 5.979987968346162, 6.005269989700541, 6.013343616317208, 6.033440105158665, 6.026025025972381]"
2463,49240-49259,gender,13,5.263538566899892,"[4.366298967782153, 4.595916994369332, 4.708087790845555, 4.769482401506307, 4.788186954734624, 5.0896757399327885, 5.0946364516697, 5.129292905914104, 5.142769556741842, 5.168946910336609, 5.1457074007576935, 5.146819343185219, 5.110511029826863, 5.158326583589216, 5.1778054682938, 5.267087827554568, 5.324774103175397, 5.299753402443242, 5.280076705782291, 5.263538566899892]"
2464,49260-49279,gender,20,5.1270175702583165,"[4.2461977277952645, 4.36913803433229, 4.452119281631783, 4.434821968740996, 4.509493570021223, 4.596665789082311, 4.518736280531044, 4.655616832056062, 4.825796849273249, 4.904881731594697, 4.972131351574292, 4.969665920595443, 5.013312394813214, 5.037590859909133, 5.04370345224268, 5.07708162324213, 5.1417789524075035, 5.132557508766284, 5.135761650574758, 5.1270175702583165]"
2465,49280-49299,gender,18,5.232489263058104,"[4.1569645431325775, 4.1724152209804375, 4.424821609094099, 4.579793554095858, 4.548699463180417, 4.51017141279123, 4.6417940675654865, 4.89419293064748, 5.07167448754634, 5.154911687918915, 5.17109233796132, 5.170071387717523, 5.191170456903368, 5.202230487447218, 5.246188548641066, 5.263152373229399, 5.253627053924872, 5.23015979917807, 5.217971510923371, 5.232489263058104]"
2466,49300-49319,gender,18,5.975030141111362,"[4.366298967782153, 4.13803655528641, 4.704862717099326, 4.8725877635570605, 4.989903021879316, 5.170546598638566, 5.1228466324952375, 5.514963976199326, 5.740576730856198, 5.827244939387655, 5.854962395661702, 5.909831610936488, 5.987167793436379, 6.002492069874071, 6.024158864281106, 6.00710827272915, 6.0020395621267415, 5.989244064848734, 5.996723792372611, 5.975030141111362]"
2467,49320-49339,gender,6,5.306636403197637,"[4.2461977277952645, 4.870707041559923, 4.944651673512114, 4.886409441475377, 4.827158315527081, 4.766740013710307, 4.818707431211503, 4.961731650577085, 5.047804565742593, 5.114069310180319, 5.112108791654376, 5.224470547893271, 5.226383798905505, 5.319351295367502, 5.3572415604825405, 5.352076903575482, 5.347863363362869, 5.32157248412356, 5.313146346374735, 5.306636403197637]"
2468,49340-49359,gender,-1,5.305882707454384,"[3.9711408632873955, 4.3853103389555885, 4.181848673647028, 4.3618316842837785, 4.558155942943497, 4.576337108387144, 4.685250746962279, 4.776461204938217, 4.948357810937131, 5.085306047539888, 5.102128795034097, 5.089739895088852, 5.159636965881836, 5.1686134464480125, 5.193928238342314, 5.288829217492072, 5.277299046837131, 5.305071420877236, 5.292183510411054, 5.305882707454384]"
2469,49360-49379,gender,-1,5.561363048864851,"[4.366298967782153, 4.3853103389555885, 4.557459736862327, 4.80915977430631, 4.900800114528001, 5.066330945466362, 4.955016440968703, 5.030331285328842, 5.13873674535577, 5.159608754464974, 5.30562847508484, 5.3675397549282335, 5.3450048358862094, 5.374313181680881, 5.414890898742885, 5.421693242650917, 5.508519322584628, 5.565410247628161, 5.554526562223285, 5.561363048864851]"
2470,49380-49399,race-color,19,6.08468982632258,"[4.398725113327069, 4.72112227590484, 4.883232429722049, 4.9488015751014816, 5.122191636354237, 5.233710290842706, 5.274800508844095, 5.465670535305614, 5.631844428995863, 5.7354262890016905, 5.82837905355202, 5.976381592104315, 6.008650700805995, 6.048463114037588, 6.038753964703845, 6.100226825327092, 6.111517638688171, 6.110782249874032, 6.100084527159639, 6.08468982632258]"
2471,49400-49419,race-color,5,5.305858526768271,"[3.9711408632873955, 4.599006111242948, 4.574270212814563, 4.549608146835004, 4.5352553344791735, 4.728724776149019, 4.742288291116386, 4.829286524179447, 4.9876920976160495, 4.969423672314986, 5.086341463049879, 5.127603718283786, 5.165331307800919, 5.171823015077265, 5.236221377486669, 5.322784640875999, 5.309142198991319, 5.307636786000276, 5.288024112338469, 5.305858526768271]"
2472,49420-49439,race-color,18,5.3180928093412305,"[3.6311790803889217, 4.246453766207771, 4.605775922016927, 4.666304041713939, 4.834060513711147, 4.932068717243243, 4.877004474193166, 4.966692909442484, 5.121714857286838, 5.179511864273284, 5.18632291474381, 5.249291275503756, 5.259494476679401, 5.256396179136005, 5.292764386347624, 5.283802881174305, 5.283483325481651, 5.299089007804207, 5.3167420420581175, 5.3180928093412305]"
2473,49440-49459,race-color,-1,5.6434513388666225,"[3.9711408632873955, 4.358394107455307, 4.605775922016927, 4.776483486666189, 4.973384383341197, 4.896273901751354, 4.991224918113549, 5.1306422673768575, 5.34460251405644, 5.431275641967989, 5.575743897570232, 5.613336993910718, 5.548586314586264, 5.553884840526351, 5.584861505145158, 5.6475969268487285, 5.660218158474219, 5.6886976506342135, 5.673688579951235, 5.6434513388666225]"
2474,49460-49479,physical-appearance,14,5.889421203488177,"[4.366298967782153, 4.776897771728236, 5.011457460876696, 5.2474887371099275, 5.3811004568298335, 5.434227681795684, 5.358721008691139, 5.612421831282445, 5.771051142950575, 5.902300208564469, 5.960865247737792, 5.939506588227566, 5.949984746812559, 5.900007299020542, 5.9086245954076, 5.896137814690311, 5.864012236442641, 5.854245940205511, 5.879711719685544, 5.889421203488177]"
2475,49480-49499,physical-appearance,-1,5.224792214966692,"[4.366298967782153, 4.465518602859192, 4.590556609601904, 4.417898938701369, 4.757951473995463, 4.851400668454307, 4.969102702959059, 5.084604249302271, 5.076703407757757, 5.132268685768176, 5.1492447804065415, 5.105339007767345, 5.138138253345636, 5.11253953284581, 5.156943204272407, 5.201203738710402, 5.223670894730412, 5.2116358139417285, 5.194241208694189, 5.224792214966692]"
2476,49500-49519,physical-appearance,16,5.310111433450661,"[4.580148281356701, 4.6431932565338645, 4.71695466584868, 4.731909420620752, 4.8131555358968034, 4.806530495751296, 4.775252597365747, 4.854196778549965, 5.030366396501685, 5.102345233573103, 5.160995704343602, 5.200682599327817, 5.229984213563018, 5.249015231536504, 5.251698349428497, 5.258486902958188, 5.2961467911255005, 5.286363506623393, 5.306930961344799, 5.310111433450661]"
